School,Distance
ASU,471.15
Boise State,329.3
Cal,593.3
Cerritos College,565.45
Chabot College,580.68
Citrus College,545.46
Colorado,355.04
East LA College,560.69
Eastern Washington,601.49
Hawaii,3000.24
Hutchinson CC,751.26
Kansas State,805.71
Kent State,1583.88
Long Beach City College,574.76
Maryland,1856.74
Michigan,1488.6
Mississipi State,1270.35
Missouri State,1032.41
Mt. San Antonio College,540.4
Nevada,438.91
New Mexico,507.09
NM Military Institute,603.23
North Dakota,707.9
Notre Dame,1328.0
College of San Mateo,593.89
Oklahoma,839.03
Oklahoma State,842.9
Oregon,642.56
Pitt,1661.29
Riverside CC,537.71
Shasta College,566.02
Snow College,102.86
Stanford,599.61
Southern Utah,193.01
Syracuse,1833.97
Texas,1043.11
Tyler JC,1061.56
UNLV,343.99
USC,564.26
USF,1863.47
USU,102.97
Utah,37.34
Virginia,1780.11
Virginia Tech,1690.98
Washington,734.85
Weber State,70.46
Western Michigan,1359.04
